ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalkWh,AveragekWh
91901,7,2024,A,Y,0,0,0
91901,7,2024,C,Y,0,0,0
91901,7,2024,I,Y,0,0,0
91901,7,2024,R,Y,2418,1900917,786
91902,7,2024,A,Y,0,0,0
91902,7,2024,C,Y,0,0,0
91902,7,2024,I,Y,0,0,0
91902,7,2024,R,N,971,421147,434
91905,7,2024,A,Y,0,0,0
91905,7,2024,C,Y,0,0,0
91905,7,2024,I,Y,0,0,0
91905,7,2024,R,Y,0,0,0
91906,7,2024,A,Y,0,0,0
91906,7,2024,C,Y,0,0,0
91906,7,2024,I,Y,0,0,0
91906,7,2024,R,Y,541,411295,760
91910,7,2024,A,Y,0,0,0
91910,7,2024,C,Y,474,7031751,14835
91910,7,2024,I,Y,0,0,0
91910,7,2024,R,Y,6605,2069873,313
91911,7,2024,A,Y,0,0,0
91911,7,2024,C,Y,654,6696351,10239
91911,7,2024,I,Y,0,0,0
91911,7,2024,R,Y,5644,1778374,315
91912,7,2024,A,Y,0,0,0
91912,7,2024,C,Y,0,0,0
91912,7,2024,I,Y,0,0,0
91912,7,2024,R,Y,0,0,0
91913,7,2024,A,Y,0,0,0
91913,7,2024,C,Y,0,0,0
91913,7,2024,I,Y,0,0,0
91913,7,2024,R,N,5796,2521507,435
91914,7,2024,A,Y,0,0,0
91914,7,2024,C,Y,0,0,0
91914,7,2024,I,Y,0,0,0
91914,7,2024,R,N,804,375295,467
91915,7,2024,A,Y,0,0,0
91915,7,2024,C,Y,0,0,0
91915,7,2024,I,Y,0,0,0
91915,7,2024,R,Y,3505,1627213,464
91916,7,2024,A,Y,0,0,0
91916,7,2024,C,Y,0,0,0
91916,7,2024,I,Y,0,0,0
91916,7,2024,R,Y,0,0,0
91917,7,2024,A,Y,0,0,0
91917,7,2024,C,Y,0,0,0
91917,7,2024,I,Y,0,0,0
91917,7,2024,R,Y,0,0,0
91931,7,2024,A,Y,0,0,0
91931,7,2024,C,Y,0,0,0
91931,7,2024,I,Y,0,0,0
91931,7,2024,R,Y,0,0,0
91932,7,2024,A,Y,0,0,0
91932,7,2024,C,N,125,493794,3950
91932,7,2024,I,Y,0,0,0
91932,7,2024,R,N,3568,985249,276
91934,7,2024,A,Y,0,0,0
91934,7,2024,C,Y,0,0,0
91934,7,2024,I,Y,0,0,0
91934,7,2024,R,Y,0,0,0
91935,7,2024,A,Y,0,0,0
91935,7,2024,C,Y,0,0,0
91935,7,2024,I,Y,0,0,0
91935,7,2024,R,N,493,307716,624
91941,7,2024,A,Y,0,0,0
91941,7,2024,C,Y,0,0,0
91941,7,2024,I,Y,0,0,0
91941,7,2024,R,N,3050,1341701,440
91942,7,2024,A,Y,0,0,0
91942,7,2024,C,N,509,5918518,11628
91942,7,2024,I,Y,0,0,0
91942,7,2024,R,N,6143,2524220,411
91945,7,2024,A,Y,0,0,0
91945,7,2024,C,N,585,3003325,5134
91945,7,2024,I,Y,0,0,0
91945,7,2024,R,N,9027,3609991,400
91948,7,2024,A,Y,0,0,0
91948,7,2024,C,Y,0,0,0
91948,7,2024,I,Y,0,0,0
91948,7,2024,R,Y,0,0,0
91950,7,2024,A,Y,0,0,0
91950,7,2024,C,Y,505,6849669,13564
91950,7,2024,I,Y,0,0,0
91950,7,2024,R,Y,2983,1159654,389
91962,7,2024,A,Y,0,0,0
91962,7,2024,C,Y,0,0,0
91962,7,2024,I,Y,0,0,0
91962,7,2024,R,Y,0,0,0
91963,7,2024,A,Y,0,0,0
91963,7,2024,C,Y,0,0,0
91963,7,2024,I,Y,0,0,0
91963,7,2024,R,Y,0,0,0
91977,7,2024,A,Y,0,0,0
91977,7,2024,C,Y,0,0,0
91977,7,2024,I,Y,0,0,0
91977,7,2024,R,N,3381,1381875,409
91978,7,2024,A,Y,0,0,0
91978,7,2024,C,Y,0,0,0
91978,7,2024,I,Y,0,0,0
91978,7,2024,R,N,591,385267,652
91980,7,2024,A,Y,0,0,0
91980,7,2024,C,Y,0,0,0
91980,7,2024,I,Y,0,0,0
91980,7,2024,R,Y,0,0,0
92003,7,2024,A,Y,0,0,0
92003,7,2024,C,Y,0,0,0
92003,7,2024,I,Y,0,0,0
92003,7,2024,R,N,358,128804,360
92004,7,2024,A,Y,0,0,0
92004,7,2024,C,Y,0,0,0
92004,7,2024,I,Y,0,0,0
