access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,maximum_vehicle_class,open_date,owner_type_code,restricted_access,status_code,funding_sources,facility_type,station_name,station_phone,updated_at,geocode_status,latitude,longitude,city,country,intersection_directions,plus4,state,street_address,zip,bd_blends,cng_dispenser_num,cng_fill_type_code,cng_has_rng,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class,e85_blender_pump,e85_other_ethanol_blends,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,ev_workplace_charging,hy_is_retail,hy_pressures,hy_standards,hy_status_link,lng_has_rng,lng_renewable_source,lng_vehicle_class,lpg_nozzle_types,lpg_primary,ng_fill_type_code,ng_psi,ng_vehicle_class,rd_blended_with_biodiesel,rd_blends,rd_blends_fr,rd_max_biodiesel_level,nps_unit_name,access_days_time_fr,intersection_directions_fr,bd_blends_fr,groups_with_access_code_fr,ev_pricing_fr,ev_network_ids.station,ev_network_ids.posts,federal_agency.id,federal_agency.code,federal_agency.name
public,24 hours daily,,,2024-08-15,,ELEC,Public,6355,,1997-07-30,P,False,E,,HOSPITAL,Scripps Green Hospital,,2024-08-15T19:57:12Z,GPS,32.89947,-117.243,La Jolla,US,"Patient Parking Structure, level G",,CA,10666 N Torrey Pines Rd,92037,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free; parking fee,,False,,,,,,,,,,,,,,,,,,,,,Public,,,,,,
public,Dealership business hours,CALL,,2024-02-12,,ELEC,Public - Call ahead,39886,,2011-03-15,P,False,E,,CAR_DEALER,Mossy Nissan - El Cajon,619-588-0500,2024-02-12T15:25:05Z,200-9,32.795896,-116.976156,El Cajon,US,,,CA,1170 W Main St,92020,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,,,,
public,Dealership business hours,CALL,,2024-02-12,,ELEC,Public - Call ahead,39889,LD,2011-03-15,P,False,E,,CAR_DEALER,Mossy Nissan - Escondido,760-746-5050,2024-02-12T15:25:05Z,200-9,33.116492,-117.106837,Escondido,US,,,CA,1546 Auto Park Way,92029,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,,,,
public,Dealership business hours,CALL,,2024-02-12,,ELEC,Public - Call ahead,39915,LD,2011-03-15,P,False,E,,CAR_DEALER,Mossy Nissan,619-474-7011,2024-02-12T15:25:05Z,200-9,32.659001,-117.100836,National City,US,,,CA,2700 National City Blvd,91950,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,,,,
public,Dealership business hours,CALL,,2024-02-12,,ELEC,Public - Call ahead,39916,,2011-03-15,P,False,E,,CAR_DEALER,Mossy Nissan - Oceanside,760-720-9797,2024-02-12T15:25:05Z,200-9,33.181953,-117.298334,Oceanside,US,,,CA,3535 College Blvd,92056,,,,,,,,,,,,"['CHADEMO', 'J1772', 'J1772COMBO']",3.0,,2.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,,,,
public,Dealership business hours,CALL,,2024-02-12,,ELEC,Public - Call ahead,39921,LD,2011-03-15,P,False,E,,CAR_DEALER,Mossy Nissan - Poway,858-668-3600,2024-02-12T15:25:05Z,200-8,32.95678,-117.02581,Poway,US,,,CA,14100 Poway Rd,92064,,,,,,,,,,,,"['CHADEMO', 'J1772']",1.0,,1.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,,,,
public,Dealership business hours,CALL,,2024-02-12,,ELEC,Public - Call ahead,39932,,2011-03-15,P,False,E,,CAR_DEALER,Mossy Nissan - Kearny Mesa,858-565-4411,2024-02-12T15:25:05Z,200-9,32.833179,-117.147384,San Diego,US,,,CA,8118 Clairemont Mesa Blvd,92111,,,,,,,,,,,,"['CHADEMO', 'J1772']",1.0,,1.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,,,,
public,Dealership business hours,CALL,,2024-02-12,,ELEC,Public - Call ahead,39936,LD,2011-03-15,P,False,E,,CAR_DEALER,Nissan of San Juan Capistrano,888-718-2419,2024-02-12T15:25:05Z,200-8,33.47462,-117.67629,San Juan Capistrano,US,,,CA,33633 Camino Capistrano,92675,,,,,,,,,,,,"['CHADEMO', 'J1772']",1.0,,2.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,,,,
private,Employee and student use only,,,2023-05-03,,ELEC,Private,40185,,2011-07-22,P,,E,,OFFICE_BLDG,International Brotherhood of Electrical Workers 569 - NECA Electrical Training Center,,2024-01-31T22:07:01Z,GPS,32.823912,-117.12114,San Diego,US,Balboa and I-15,,CA,4675 Viewridge Ave,92123,,,,,,,,,,,,['J1772'],,,2.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,,,,
public,24 hours daily,,,2024-12-03,,ELEC,Public,44400,,2012-03-01,,,E,,,EVSP WALGREENS STORE 11241,888-758-4389,2024-12-03T01:28:23Z,GPS,33.577103,-117.723844,Aliso Viejo,US,The station is located to the left of the store's entrance,,CA,26531 Aliso Creek Rd,92656,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['USCPIL2121661'],"['25982931', '25982941']",,,
