Zip Code,Lambda
91901,46963.0
91906,31074.0
91910,1387217.3333333333
91911,2237094.3333333335
91913,39958.0
91914,86782.0
91915,292820.0
91931,606.0
91932,110518.0
91935,9328.666666666666
91941,26982.0
91942,332764.6666666667
91945,90198.66666666667
91950,1420618.6666666667
91977,96892.66666666667
92004,9937.333333333334
92007,38188.0
92008,778637.3333333334
92009,796363.3333333334
92010,147060.0
92011,222907.66666666666
92014,164844.33333333334
92019,431984.0
92020,1378680.0
92021,1419012.0
92024,810156.0
92025,670882.3333333334
92026,378825.0
92027,176046.66666666666
92028,678595.0
92029,617092.0
92036,4963.666666666667
92037,2958462.0
92040,495304.3333333333
92054,1646865.0
92055,1962.6666666666667
92056,713061.3333333334
92057,133467.0
92058,24531.0
92059,5126.666666666667
92061,2604.0
92064,347536.0
92065,208784.0
92067,64904.0
92069,552468.0
92070,5755.0
92071,785468.0
92075,410058.6666666667
92078,920880.0
92081,316909.6666666667
92082,355368.0
92083,148268.33333333334
92084,201121.66666666666
92086,6798.666666666667
92093,19492.0
92101,7694076.333333333
92102,180310.0
92103,527688.0
92104,94401.0
92105,47716.333333333336
92106,266792.3333333333
92108,964158.3333333334
92109,525968.0
92110,491128.0
92111,809020.0
92113,286114.6666666667
92114,108364.66666666667
92115,329685.0
92116,23665.666666666668
92117,171124.0
92118,260513.33333333334
92119,77389.33333333333
92120,203373.33333333334
92121,881180.6666666666
92122,864972.3333333334
92123,1021829.0
92126,1233981.0
92127,2393977.0
92128,455712.0
92129,250868.0
92130,2635864.3333333335
92131,179826.0
92132,202.66666666666666
92135,214.33333333333334
92136,14868.0
92139,27358.333333333332
92145,5149.666666666667
92154,806130.0
92155,1245.3333333333333
92161,27.0
92173,213646.0
92182,3761.3333333333335
92624,6794.666666666667
92629,47182.0
92649,62313.333333333336
92651,270324.0
92653,259793.33333333334
92656,752279.6666666666
92672,403017.3333333333
92673,179615.33333333334
92675,254912.0
92677,759066.0
92679,27449.333333333332
92688,107446.0
92691,327589.3333333333
92692,433653.0
92694,441498.0
92697,917.0
95126,671475.0
